QUESTION,ANSWER
차량의 외부에서 전방 레이더의 위치는 어디에 있나요?,차량의 외부에서 전방 레이더의 위치는 앞쪽에 있습니다.
차량 내부에서 전자식 파킹 브레이크(EPB) 스위치의 위치는 어디에 있나요?,차량 내부에서 전자식 파킹 브레이크(EPB) 스위치의 위치는 운전석 주변에 있습니다.
차량 내부에서 스마트폰 인증 패드/무선 충전 패드의 위치는 어디에 있나요?,차량 내부에서 스마트폰 인증 패드/무선 충전 패드의 위치는 중앙 콘솔 근처에 있습니다.
차량의 엔진룸에서 엔진 오일을 점검할 때 필요한 두 가지 부품은 무엇인가요?,차량의 엔진룸에서 엔진 오일을 점검할 때 필요한 두 가지 부품은 엔진 오일 주입구와 엔진 오일 레벨 게이지입니다.
차량의 타이어 공기압을 조정할 때 해발 고도가 높은 지역에서 주의해야 할 점은 무엇인가요?,"차량의 타이어 공기압을 조정할 때 해발 고도가 높은 지역에서는 대기의 압력이 낮아지므로 추천 공기압보다 더 보충해야 하며, 해발 고도별 보충 공기압은 +1.5psi/km입니다."
차량의 타이어 에너지 소비 효율 등급에서 회전 저항(RRC)과 젖은 노면 제동력(G)의 등급이 높을수록 각각 어떤 의미를 가지나요?,"차량의 타이어 에너지 소비 효율 등급에서 회전 저항(RRC)의 등급이 높을수록 소비 효율이 높아지고, 젖은 노면 제동력(G)의 등급이 높을수록 젖은 노면에서의 제동력이 좋습니다."
에어컨 시스템에서 지정된 냉매를 사용하지 않을 경우 어떤 문제가 발생할 수 있나요?,에어컨 시스템에서 지정된 냉매를 사용하지 않을 경우 냉방 성능 저하 및 심각한 부품 손상이 발생할 수 있습니다.
Smartstream L3.5 엔진에 추천되는 엔진 오일의 사양은 무엇인가요?,"Smartstream L3.5 엔진에 추천되는 엔진 오일의 사양은 ACEA C3급 또는 C2급, SAE 0W-30입니다."
운전 전 1일 1회 점검해야 할 사항은 무엇인가요?,"운전 전 1일 1회 점검해야 할 사항은 차량 하부에서 기름 및 액체가 새는지, 엔진룸을 열고 냉각수, 각종 오일 및 벨트류의 이상 유무를 확인하고, 차량 외관의 이상 유무를 확인하는 것입니다."
브레이크 오일 리저버 탱크 내의 브레이크 오일양이 부족하거나 급격히 감소되었을 때 어떻게 해야 하나요?,브레이크 오일 리저버 탱크 내의 브레이크 오일양이 부족하거나 급격히 감소되었다면 당사 직영 하이테크센터나 블루핸즈에서 점검을 받아야 합니다.
에어백의 최대 효과를 얻기 위해서는 무엇을 해야 하나요?,"에어백의 최대 효과를 얻기 위해서는 안전벨트를 착용해야 합니다. 그렇지 않으면 실명, 상해, 사망 등의 위험을 당할 수 있습니다."
주행 중 엔진을 끄면 어떤 위험이 발생할 수 있나요?,주행 중 엔진을 끄면 브레이크의 성능이 저하되거나 스티어링 휠이 조작되지 않아 매우 위험합니다.
교차로나 건널목의 한 가운데서 시동이 꺼졌을 때 어떻게 대처해야 하나요?,교차로나 건널목의 한 가운데서 시동이 꺼졌을 때는 주위의 가까운 사람들에게 도움을 받아 차를 안전한 장소까지 이동시켜야 합니다.
차량의 플라스틱 외장 부품을 손상시키지 않기 위해 주차 시 주의해야 할 점은 무엇인가요?,"차량의 플라스틱 외장 부품을 손상시키지 않기 위해서는 스테인리스 간판, 전면 유리 건물 등 외부 구조물에서 반사되는 태양 반사광이 발생할 수 있는 지역을 피해 주차하거나 주차 커버를 사용해야 합니다."
LPG 차량을 장기간(1개월 이상) 주차할 때 주의해야 할 사항은 무엇인가요?,"LPG 차량을 장기간(1개월 이상) 주차할 경우에는 지하 주차장 등과 같은 밀폐된 장소를 피하고, 연료 수동 차단 밸브를 잠가야 합니다."
중앙 좌석을 접는 방법은 무엇인가요?,중앙 좌석을 접는 방법은 3-11 페이지에 설명되어 있습니다.
3인승 밴 차량의 좌석 구성은 어떻게 되어 있나요?,3인승 밴 차량은 1열에 중앙 좌석을 포함하여 총 3좌석으로 구성되어 있습니다.
주행 중에 좌석을 조절하면 어떤 위험이 발생할 수 있나요?,"주행 중에 좌석을 조절하면 운전에 방해가 되고, 사고로 인하여 심하게 다치거나 사망할 수 있습니다."
수동식 좌석의 등받이 각도를 조절하는 방법은 무엇인가요?,"수동식 좌석의 등받이 각도를 조절하는 방법은 먼저 좌석에 앉은 상태에서 등을 앞으로 약간 숙이고, 좌석 바깥쪽에 위치한 좌석 각도 조절 레버를 위로 당긴 후, 원하는 위치로 조절하고, 조절 레버를 놓아 고정시키는 것입니다."
헤드레스트를 분리하는 단계는 무엇인가요?,"헤드레스트를 분리하는 단계는 먼저 등받이 각도 조절 스위치 또는 레버를 사용해 좌석 등받이를 뒤로 젖히고, 헤드레스트를 끝까지 올린 후 잠금 해제 버튼을 누른 상태에서 헤드레스트를 위로 올려 분리하는 것입니다."
프리미엄 릴렉션 시트를 작동할 때 주의해야 할 점은 무엇인가요?,"프리미엄 릴렉션 시트를 작동할 때는 3열 좌석에 탑승자 또는 기타 적재물이 있을 경우 작동하지 말아야 하며, 좌석이 작동 중일 때 신체나 물건이 끼이지 않도록 주의해야 합니다."
레그서포트(종아리 지지대)의 각도와 길이를 조절하는 방법은 무엇인가요?,"레그서포트의 각도는 조절 스위치를 위 또는 아래로 움직여 조절하고, 길이는 조절 스위치를 앞 또는 뒤로 움직여 조절합니다."
2열 좌석의 전후 위치를 조절하는 방법은 무엇인가요?,"2열 좌석의 전후 위치를 조절하려면 좌석 앞쪽에 있는 레버를 위로 당기고, 좌석을 전후 원하는 위치로 조절한 후, 조절 레버를 놓아 고정합니다. 조절 후에는 좌석을 앞뒤로 가볍게 흔들어 확실하게 고정되었는지 확인합니다."
2열 좌석의 등받이 각도를 조절하는 방법은 무엇인가요?,"2열 좌석의 등받이 각도를 조절하는 방법은 좌석에 앉은 상태에서 등을 앞으로 약간 숙이고, 좌석 바깥쪽에 위치한 좌석 각도 조절 레버를 당긴 후, 좌석에 기대어 원하는 위치로 조절하고, 조절 레버를 놓으면 고정됩니다. 조절이 끝나면 조절 레버의 위치가 처음의 상태로 되돌아와 확실하게 등받이가 고정되었는지 확인해야 합니다."
