QUESTION,ANSWER
운행 전 점검해야 할 항목 중 엔진룸에서 확인해야 할 사항은 무엇인가요?,"운행 전 엔진룸에서 확인해야 할 사항은 냉각수량 및 냉각장치의 누수, 엔진오일량 및 각종 오일의 누유, 팬 벨트의 장력상태와 손상, 파워스티어링오일 수준상태입니다."
연료부족 경고등이 켜졌을 때 운전자가 취해야 할 조치는 무엇인가요?,연료부족 경고등이 켜졌을 때 운전자는 즉시 가까운 주유소를 찾아 연료를 보충해야 합니다.
차량 운행 중 안전사항 중 '주/정차중 차내 수면 금지'는 몇 페이지에 설명되어 있나요?,'주/정차중 차내 수면 금지'는 2-2 페이지에 설명되어 있습니다.
CNG 차량의 특성에 대해 설명하는 페이지는 어디인가요?,CNG 차량의 특성에 대해 설명하는 페이지는 2-17 페이지입니다.
스마트키 사용 방법은 몇 페이지에 설명되어 있나요?,스마트키 사용 방법은 3-5 페이지에 설명되어 있습니다.
비상탈출구 루프해치를 여는 방법은 어디에 설명되어 있나요?,비상탈출구 루프해치를 여는 방법은 3-18 페이지에 설명되어 있습니다.
디젤엔진의 시동 방법은 무엇인가요?,디젤엔진의 시동 방법은 5-6 페이지에 설명되어 있습니다.
클러치 페달을 올바르게 사용하는 방법은 무엇인가요?,클러치 페달을 올바르게 사용하는 방법은 5-14 페이지에 설명되어 있습니다.
야간 주행 시 안전 운전 및 수시 점검하기의 중요성은 무엇인가요?,야간 주행 시 안전 운전 및 수시 점검하기의 중요성은 시야가 제한되고 도로 상황이 낮보다 더 위험할 수 있기 때문에 사고를 예방하고 안전한 주행을 유지하기 위해 필수적입니다.
자동변속기 오일을 점검하는 방법은 무엇인가요?,"자동변속기 오일을 점검하는 방법은 차량을 평평한 곳에 주차하고, 엔진을 예열한 후, 변속기를 'P' 위치에 놓고, 오일 게이지를 뽑아 오일의 양과 상태를 확인하는 것입니다."
매연 필터 장치(DPF)를 재생시키는 방법에는 어떤 것들이 있나요?,"매연 필터 장치(DPF)를 재생시키는 방법에는 자동 재생, 빠른 재생, 수동 재생이 있습니다."
연료 주입구의 위치는 어디에 있나요?,"연료 주입구의 위치는 전면과 후면 모두에 있으며, 후면에는 요소수(우레아) 주입구도 함께 있습니다."
와이퍼/와셔에 대한 정보는 문서의 어느 페이지에 있나요?,와이퍼/와셔에 대한 정보는 문서의 3-56 페이지에 있습니다.
ECAS 스위치의 위치는 어디에 있나요?,ECAS 스위치의 위치는 3-65 페이지에 있습니다.
엔진 오일 게이지와 엔진 오일 주입구의 위치는 각각 어디에 있나요?,"엔진 오일 게이지는 9-26 페이지에, 엔진 오일 주입구는 9-27 페이지에 위치해 있습니다."
주행 중 엔진이 정지된 경우 어떻게 조치해야 하나요?,"주행 중 엔진이 정지된 경우 비상등을 켜고, 차량을 도로 가장자리로 이동시킨 후, 안전한 장소에 정차하여 차량의 상태를 점검하고 필요시 견인을 요청해야 합니다."
운전석 부근을 항상 깨끗하게 정돈해야 하는 이유는 무엇인가요?,운전석 부근에 깡통 등의 구르기 쉬운 물건이 페달 밑으로 굴러 들어갈 경우 각종 페달 조작이 불가능하게 되어 사고의 위험이 있기 때문입니다.
어린이와 어른이 함께 안전벨트를 착용하면 안 되는 이유는 무엇인가요?,어린이와 어른이 함께 안전벨트를 착용하면 안 되는 이유는 사고 시 어린이가 안전벨트 아래로 빠져나와 목이 걸리거나 심각한 부상을 입을 수 있기 때문입니다.
안전벨트를 착용하지 않았을 때 경고등과 경고음이 작동하는 조건은 무엇인가요?,"안전벨트를 착용하지 않았을 때 경고등과 경고음이 작동하는 조건은 시동 버튼이 'ON' 상태일 때 경고등이 지속 점등되고 경고음이 6초간 작동하며, 차속이 20km/h 이상일 때 경고등이 지속 점멸되고 경고음이 약 100초간 작동합니다."
어린이 보조 좌석을 ISOFIX로 장착할 때 주의해야 할 점은 무엇인가요?,"어린이 보조 좌석을 ISOFIX로 장착할 때 주의해야 할 점은 안전벨트 띠 부분이 보조 좌석 및 ISOFIX에 의해 긁히거나 집히지 않도록 하고, 사용하지 않는 안전벨트의 플레이트를 해당 버클에 모두 채우며, 안전벨트 띠가 어린이 보조 좌석 뒤로 지나가도록 하여 늘어져 있는 안전벨트 띠가 어린이 손에 닿지 않도록 하는 것입니다."
차량의 속도가 있을 때 주차브레이크를 사용하면 어떤 위험이 발생할 수 있나요?,차량의 속도가 있을 때 주차브레이크를 사용하면 차량이 돌아갈 위험이 있습니다.
교차로나 철도 건널목을 건널 때 주의해야 할 점은 무엇인가요?,"교차로나 철도 건널목을 건널 때는 우선 멈추어 안전을 확인한 후, 가능한 저단기어를 사용하여 변속하지 말고 신속히 빠져 나와야 합니다."
차량에 비인가 전기장치를 임의로 장착할 경우 발생할 수 있는 문제는 무엇인가요?,"차량에 비인가 전기장치를 임의로 장착할 경우 차량의 이상작동, 배선손상, 배터리 방전, 커넥터 손상, 화재 등을 초래할 수 있어 차량 안전에 문제가 생길 수 있습니다."
터보차저 장착 차량의 엔진 오일 관리 방법은 무엇인가요?,"터보차저 장착 차량의 엔진 오일 관리 방법은 엔진 오일을 정해진 주기마다 반드시 교환하고, 엔진 오일이 부족할 경우 터보차저의 축을 지지하는 베어링부의 고착 및 이상음 발생의 원인이 될 수 있으므로 주의해야 합니다."
EGR 시스템의 주요 기능은 무엇인가요?,"EGR(Exhaust Gas Recirculation) 시스템의 주요 기능은 엔진에서 연소 후 배출되는 배기가스를 수냉식 EGR쿨러를 거쳐 냉각 시킨 후 흡입공기와 혼합하여 연소실로 재순환시키는 것으로, 질소 산화물 배출량을 획기적으로 감소시키는 것입니다."
천연가스 자동차(NGV)는 어떤 방식으로 연료를 저장하는지 설명하세요.,"천연가스 자동차(NGV)는 연료를 저장하는 방식에 따라 압축천연가스(CNG) 자동차, 액화천연가스(LNG) 자동차, 흡착 천연가스(ANG) 자동차로 구분됩니다."
수동 차단밸브를 잠그는 방법은 무엇인가요?,수동 차단밸브를 시계방향으로 90˚ 돌리면 연료가 차단됩니다.
스마트키를 사용할 때 주의해야 할 사항은 무엇인가요?,스마트키를 사용할 때 주의해야 할 사항은 사용 시 주의 사항을 준수하는 것입니다.
엔진 공회전(IDLE) 스위치를 사용하는 방법은 무엇인가요?,엔진 공회전(IDLE) 스위치를 사용하는 방법은 매뉴얼의 3-55 페이지에 설명되어 있습니다.
스마트 키를 사용하여 도어를 잠그고 해제하는 방법은 무엇인가요?,"스마트 키를 사용하여 도어를 잠그고 해제하는 방법은 모든 도어가 잠긴 상태에서 해제 버튼을 누르면 도어가 잠금 해제 상태가 되고, 비상 경고등이 2회 깜박입니다. 잠금 해제 후 30초 이내에 도어를 열지 않으면 다시 잠깁니다."
스마트 키의 건전지가 약할 때 발생할 수 있는 문제는 무엇인가요?,"스마트 키의 건전지가 약할 경우 작동 가능 거리(약 10m)를 벗어난 거리에서 작동하지 않으며, 다른 차나 물건에 가려 전파 방해를 받을 수 있습니다."
